ID_Empresa;RazaoSocial;ID_Classificacao;Endereco;Municipio;UF;Telefone;NumLicencaFEEMA;ValorContrato;ValorTonelada;FlagRelContaminado;FlagRelReciclavel;FlagRelSucata;TipoResumoGeral;Responsavel;Obs;ID_Fantasia;CEP;CNPJ;InscEstado;InscMunic;Email;TelefoneII
26;"SBM Operaçoes S/C Ltda";1;"Rua Jose de Aguiar Franco, 327 - Costa do Sol";Macae;RJ;(22)27739400;NULL;NULL;NULL;F;F;F;0;"Sr. Patrick Bogue.";...;45;NULL;04808261000193;Isento;NULL;NULL;NULL
27;"Schahin Engenharia Ltda";1;"R. Acad. Paulo S. Vasconcelos, 704 - G. dos Cav.";Macae;RJ;(22)27739327;NULL;NULL;NULL;T;T;T;1;"Srª  Katarina de Souza";NULL;23;NULL;61226890000904;83567023;NULL;NULL;NULL
28;"Stolt Offshore S/A - Base";1;"Av. Pref.Aristeu F. Silva, 1661 - N. Cavaleiros";MacaÃ?Â©;RJ;(22)27739964;NULL;NULL;NULL;F;F;F;0;"Eng JosÃ?Â© Alves de AssumpÃ?Â?Ã?ÂÃ?Â?Ã?Âª";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
31;"Varco International  Brasil Eq. Serv. Ltda _1";1;"Rod. Amaral Peixoto Km 164,5 - Imboassica";MacaÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±;RJ;(22)27730600;NULL;NULL;NULL;F;F;F;1;"SrÃ?Â?Ã?Â¡Ã?Â?Ã?Â«. Wanderson Lyrio Bermudes";NULL;58;NULL;NULL;NULL;NULL;NULL;NULL
32;"UNAP Uniao Nacional de Perfuraçao L";1;"Av. Pref. Aristeu F. Silva, 2185 - Novo Cavaleiros";Macae;RJ;(22)27636100;NULL;NULL;NULL;F;F;F;0;"Srª  Cassiana Porto";NULL;54;NULL;15676893000329;77118071;NULL;NULL;NULL
33;"Ventura Petroleo S.A. - Base";1;"Estrada de Imboassica, 853 - Parte - Imboassica";Macae;RJ;(22)27919900;NULL;NULL;NULL;F;F;F;0;"Eng. Orlando Ricardo Villela";...;29;27937300;01785706000179;85769359;NULL;NULL;NULL
35;"Aggreko Brasil Energia Ltda";1;"Av. S-1 N 123 _ Granja dos Cavaleios";MacaÃ?Â©;RJ;(22)27654425;NULL;NULL;NULL;F;F;F;1;"SrÃ?Âª Patricia Silva";NULL;2;NULL;05298881000192;77529500;NULL;NULL;NULL
36;"Aker Kverner Oil & Gas do Brasil Ltda";1;"Rododovia Amaral Peixoto KM 162 Lotes 1,2,3 Qd. A";"Rio das Ostras";RJ;(22)27739000;NULL;NULL;NULL;F;F;F;2;;NULL;5;NULL;NULL;NULL;NULL;NULL;NULL
37;"Baker Hughes do Brasil Ltda -Div. Drilling Fluids";1;"Av. JFM S/N Lote 28 QD. 04 - Lagomar";MacaÃ?Â©;RJ;(22)27652505;NULL;NULL;690.00;F;F;F;0;"Sr. Arildo S. Santos";...;3;27970-43;42087254001453;77492470;NULL;NULL;NULL
38;"Baker Hughes do Brasil Ltda - BOT";1;"Rodovia Amaral Peixoto KM 184 - Lagomar";Macae;RJ;(22)27919300;NULL;NULL;690.00;F;F;F;0;"Srº Sandro Marques";NULL;24;NULL;42087254000643;75646402;NULL;NULL;NULL
39;"Brastech Serv. Tec. e Const. Nauticas Ltda";1;"Av. Pref. Aristeu F. Silva, 1825 - Novo Cavaleiros";MacaÃ?Â©;RJ;(22)27734747;NULL;NULL;NULL;F;F;F;0;"Sr. Salvador Longo";...;31;NULL;30509236000380;85768379;NULL;NULL;NULL
40;"Churrascaria Belser Ltda";1;"Estrada Faz. do Mutum, 11 - Imboassica";MacaÃ?Â©;RJ;(22)27579600;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
41;"Cis do Brasil Ltda";1;"Av. Pref. Aristeu F, Silva,1470 - Novo Cavaleiros";Macae;RJ;(22)27734343;NULL;NULL;NULL;F;F;F;1;"Sr Gerivaldo Teles de Souza";...;33;NULL;03389993000123;77005510;NULL;NULL;NULL
42;"Conduto Companhia Nacional de Dutos";1;"Av. W-12 - Lote 110 - Lagomar";Macae;RJ;(22)27731009;NULL;NULL;NULL;F;F;F;0;"SrÂ° Rodrigo Marcolino";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
43;"Construtora Norberto Odebrecht S/A";1;"Rod. Amaral Peixoto KM 167 Faz. Mutum - Imboassica";Macae;RJ;(22)27579000;NULL;NULL;NULL;F;F;F;1;"Sr. Edney Coutinho dos Santos";NULL;35;NULL;15102288000859;77127690;NULL;NULL;NULL
44;"Dawnstec Power Ltda";1;"Rua DrÂÂªÂ¤ÂÂ¢Ã« Luiz Belegard, 110  - Imbetiba";MacaÂÂªÂªÂÂ¢Ã­;RJ;(22)27725601;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
45;"Pan Marine do Brasil Ltda";1;"R. Acad. Paulo S. C. Vasconvelos,741 - G. Cav.";MacaÃ©;RJ;(22)27739200;NULL;800.00;NULL;F;F;F;1;"SrÂª  Alcione Amaral de Aguiar";...;11;NULL;42519082000125;80767935;NULL;NULL;NULL
46;"Sparrows BSM Engenharia Ltda";1;"Rua R-4, N 274 - Novo Cavaleiros";Macae;RJ;(22)27654588;NULL;NULL;NULL;F;F;F;0;"Sr°. Pedro Henrique";NULL;27;NULL;05203882000106;77413065;NULL;NULL;NULL
47;"Tetra Technologies do Brasil Ltda";1;"Rod. Amaral Peixoto, km 159 - lote 38 - Imperial";"Rio das Ostras";RJ;(22)27733004;NULL;NULL;NULL;F;F;F;0;"Eng Eginaldo Toledo";...;52;28890000;02976581000127;76100403;NULL;NULL;NULL
48;"Essencis Co-Processamento Ltda";3;"Rod. Rio-Teresopolis KM 121,5 - Iriri";Mage;RJ;(21)26339800;NULL;NULL;NULL;F;F;F;1;"Sr. Claudio Henrique Diaz Silva";NULL;74;NULL;NULL;NULL;NULL;NULL;NULL
49;"Ambicontrol Serviços e Representantes Ltda";3;"R. Proj. A n° 14 QD B - Lotes 16/17 - J. Primavera";"Duque de Caxias";RJ;(21)27763557;NULL;NULL;NULL;F;F;F;0;"Srª Lea Pereny";NULL;7;NULL;NULL;NULL;NULL;NULL;NULL
50;"Lwart Lubrificantes Ltda";3;"Rua CapitÃ?Â?Ã?ÂÃ?Â?Ã?ÂªÃ?Â?Ã?ÂªÃ?Â?Ã?Â¡Ã?Â?Ã?Â²o Guynemer, 1535 - XerÃ?Â?Ã?ÂÃ";"Duque de Caxias";RJ;(21)26791040;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
51;"Apliquim Equipamentos e Produtos";3;"Av. Irene Karcher, 1201 - Betel";PaulÃ?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?;SP;"(19) 3884-7184";NULL;NULL;NULL;F;F;F;0;;NULL;8;NULL;NULL;NULL;NULL;NULL;NULL
52;"CRR Centro de Recicl. Rio Ltda";3;"Av. Senador Vitorino Freire, 365 - Coelho Neto";"Rio de Janeiro";RJ;(21)24725150;NULL;NULL;NULL;F;F;F;0;"Srº Paulo Cesar Lannes";NULL;73;NULL;NULL;NULL;NULL;NULL;NULL
53;"Ceramica Marajo Ltda";3;"Rodovia BR 101 KM 277 - Pinho";Tangua;RJ;(21)27471207;NULL;NULL;NULL;F;F;F;0;"Sr. Rodolfo Siqueira";NULL;77;NULL;NULL;NULL;NULL;NULL;NULL
54;"Tasa Lubrificantes Ltda";3;"R. Prof. Rodolfo David Gomes, S/N - Novo Cav.";Macae;RJ;(22)27639103;NULL;NULL;NULL;F;F;F;1;"Sr° Fernando Rodrigues da Mata";NULL;80;NULL;NULL;NULL;NULL;NULL;NULL
55;"Plastimassa Industria e Comercio Ltda";3;"Estrada Municipal Adam Blumer 5942 - J. Esmeralda";Macae;RJ;"(21) 26338722";NULL;NULL;NULL;F;F;F;0;"Sr. Valmir Correa";NULL;116;NULL;NULL;NULL;NULL;NULL;NULL
57;"Ferpan Comercio de Metais Ltda";3;"Av. Brasil, 30.777 - Realengo";"Rio de Janeiro";RJ;(21)24019505;NULL;NULL;NULL;F;F;F;0;"Sr. Leonardo Pereira";NULL;75;NULL;NULL;NULL;NULL;NULL;NULL
58;"Gerdau Aços Longos S/A";3;"Av. Joao XXIII, 6777 - Santa Cruz";"Rio de Janeiro";RJ;(21)24146960;NULL;NULL;NULL;F;F;F;0;"Sra. Cenira Nunes";NULL;76;NULL;NULL;NULL;NULL;NULL;NULL
59;"S/A Paulista de Const. e Comercio";3;"Estrada de Adrianapolis, 5213";"Nova IguaÃ§u";RJ;(21)37672500;NULL;NULL;NULL;F;F;F;0;"SrÂª  Adriana Felipetto";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
60;"Suzaquim Industrias Quimicas Ltda";3;"R.Raphael da A. Fontes, 349 - Sitio de Una";Suzano;SP;(11)32249427;NULL;NULL;NULL;F;F;F;0;"Sra Cibele dos Santos";NULL;86;NULL;NULL;NULL;NULL;NULL;NULL
61;"Frama Transporte e Comercio Ltda";2;"Alameda das Viloletas, 350 - Jardim Fimus";Sorocaba;SP;(11)32022009;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
62;"THV Transportes Ltda";2;"Av. JoÃ?Â?Ã?ÂÃ?Â?Ã?ÂªÃ?Â?Ã?ÂªÃ?Â?Ã?Â¡Ã?Â?Ã?Â²o XXIII, 6777 - Santa Cruz";"Rio de Janeiro";RJ;(21)24181316;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
63;"Transportadora Novo Milenio Ltda";2;"Rua 07, nÂ° 106 - Jardim das Colinas";Hortencia;RJ;(19)38976102;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
64;"Azevedo e Marques Ltda - ME  - Limpa Fossa";2;"Est. Serramar, 51 KM 0";"Rio das Ostras";RJ;(22)27646781;NULL;NULL;NULL;F;F;F;0;;NULL;13;NULL;NULL;NULL;NULL;NULL;NULL
65;"SÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â¿tio Ilhota";3;"Zona Rural de Rio das Ostras";"Rio das Ostras";RJ;(00)0000000;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
66;"Cipame Com. e Ind. de Papeis e Metais";3;"Estrada do Mendanha, 5864 - Campo Grande";"Rio de Janeiro";RJ;(21)24137616;NULL;NULL;NULL;F;F;F;0;"Antonio T. da Silveira";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
67;"Perenyi Serviços Tecnicos de Limpeza Ind. Ltda";2;"Rua Projetada, 07 QD B - Lote 15 - Jardim Primavera";"Duque de Caxias";RJ;(21)2776-3371;NULL;NULL;NULL;F;F;F;1;"Sr. Wellington Alves das Chagas";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
68;"Recuperadora de Tamb. Penafiel Ltda";3;"Rua Monte Castelo, 1373 - Ljs 37/38 - QD 86";"Jardim Gramacho";RJ;(21)36599060;NULL;NULL;NULL;F;F;F;0;"Srº  Joao Manuel Pereira";NULL;79;NULL;NULL;NULL;NULL;NULL;NULL
69;"Petrolub Industrial de Lubrificante Ltda";3;"Rod. BR040 - KM 461/ CX Postal 06, S/N - Zona Rural";"Sete Lagoas";MG;26769398;102;NULL;NULL;F;F;F;0;"Carlos do Carmo Araújo";NULL;82;NULL;NULL;NULL;NULL;NULL;NULL
70;"Serviços em Containeres Contil Ltda";1;"Rua Aloisio S. Gomes, 30 - Granja dos Cavaleiros";Macae;RJ;(21)27637352;NULL;NULL;NULL;F;F;F;0;"Sr° Rubens Cesar";...;48;NULL;04479741000310;Isento;NULL;NULL;NULL
72;"Subsea7 do Brasil Serv. Ltda - BASE";1;"R.do Cavaleiro/Lote 10, Quadra G/Mar do Norte - Rio das Ostras";"Rio de Janeiro";RJ;"(22) 3321-6450";NULL;NULL;NULL;F;F;F;1;"Srº  Wagner Piram";NULL;49;28890000;04.954.351/0006;NULL;NULL;NULL;NULL
73;"M.V. Das Merces Transportes Ltda";2;"R. Carlos Lisdegno Carlucci, 519";"SÃ?Â£o Paulos";SP;(11)37791500;NULL;NULL;NULL;F;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
74;"Brasquip Eng. Inst. Serv. e Repres. Ltda";3;"R. Solange Aparecida Monthan, 211";Jandira;SP;(11)47894644;NULL;NULL;NULL;T;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
75;"B.J. Services do Brasil Ltda";1;"R. 1 - Quadra Z - Lotes 10 e 19 - N. Cavaleiros";MacaÃ?Â©;RJ;"(22) 27659156";NULL;NULL;NULL;F;F;F;1;" SrÃ?Â° MARCO OLIVEIRA";NULL;14;NULL;NULL;NULL;NULL;NULL;NULL
76;"Metroval Controle de Fluidos Ltda";1;"Rua R-Z - Lote 04 - N. Cavaleiros";Macae;RJ;(22)27657200;NULL;NULL;NULL;F;F;F;1;"Sr. Washington Lucio da Rocha";NULL;55;NULL;58762956000372;77465928;NULL;NULL;NULL
77;"Power Well Brasil Serv. Testes Geol. Ltda";1;"Rua R-06 - NÂ° 10 - Novo Cavaleiros";Macae;RJ;;NULL;NULL;NULL;F;F;F;1;"Srª Jaqueline Duarte";NULL;143;NULL;06134590000202;"em andam.";NULL;NULL;NULL
90;"Transocean Brasil Ltda";1;"Av. Pref. Aristeu F. Silva, 250 - N. Cavaleiros";Macae;RJ;"(22) 2791-4444";NULL;NULL;NULL;F;F;F;1;"Srª Daniele Azevedo";NULL;18;NULL;40278681000179;84662895;NULL;NULL;NULL
93;"Queiroz Galvao oleo e Gas S.A";1;"Rua do Engenho 1";"Rio das Ostras";RJ;"(22) 2773-0500";NULL;NULL;NULL;F;F;F;1;"SRA: MARTHA ROCHA LEMOS.";...;21;NULL;30521090001107;85768697;NULL;NULL;NULL
101;"Hidropartes Comercial Ltda";1;"Av. Carlos A.T. Garcia, 419 - Riviera";Macae;RJ;(22)27637173;NULL;NULL;NULL;F;F;F;1;"Sr° Edson Macedo";NULL;64;NULL;NULL;NULL;NULL;NULL;NULL
102;"Delba Maritima Navegaçao S/A";1;"Rua Artina Ribeiro Barbosa, 57 - Centro";Macae;RJ;(22)27722972;NULL;NULL;NULL;F;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
103;"Tuboscope Vetco do Brasil Eq. Serv. Ltda";1;"Rod. Amaral Peixoto KM 164,5 - Imboassica";MacaÃ?Â?Ã?ÂÃ?Â?Ã?ÂªÃ?Â?Ã?ÂªÃ?;RJ;"(22) 27730600";NULL;NULL;NULL;F;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
104;"Bos Navegaçao  S/A B. Topazio";1;"Rua Abilio M. Miranda, 606 - P.V. Miranda";Macae;rj;MacaE;NULL;NULL;NULL;F;F;F;1;"Sr° Felipe Meira";NULL;17;NULL;NULL;NULL;NULL;NULL;NULL
105;"Brasdril Sociedade de Perf. Ltda - Base";1;"Av. Pref. Aristeu Ferreira da Silva, 1205 - Novo Cavaleiros";Macae;RJ;"(22) 2123-5600";NULL;NULL;NULL;F;F;F;1;"Srª Rosangela Cabral Fernandes";NULL;12;27925540;42101311000782;85968637;NULL;NULL;NULL
106;"Varco International  Brasil Eq. Serv. Ltda_2";1;"Rod. Amaral Peixoto Km 164,5 - Imboassica";MacaÂÂ«Â±;RJ;(22)27730600;NULL;NULL;NULL;F;F;F;1;"SrÂÂ¢Ã« Wanderson Lyrio Bermudes";...;65;NULL;NULL;NULL;NULL;NULL;NULL
107;"Baker Hughes do Brasil Ltda - Petrolit";1;"R. S/N - Lote 35 - Qd 40 - Mar Norte";"Rio da Ostras";RJ;(22)27652505;NULL;NULL;NULL;F;F;F;1;"SrÂ° Valeska Di Cassia";NULL;26;NULL;NULL;NULL;NULL;NULL;NULL
108;"Remac Retifica Macae Ltda";1;"Rod. Amaral Peixoto, 3.900 - P. Aeroporto";Macae;RJ;"21 2762-8279";NULL;NULL;NULL;F;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
109;"Nutec MacaeTrein. em Seg. Maritima Ltda";1;"Av. Pref. Aristeu F. Silva, 1277 - N. Cavaleiros";Macae;RJ;"22 2773-3361";NULL;NULL;NULL;F;F;F;1;"Sr. Sandro Leal";...;40;NULL;07070955000164;Isento;NULL;NULL;NULL
110;"Brasil Recicle Ltda";3;"Rua Brasilia n 85 - Tapajos";Indaial;SC;"47 33333740";NULL;NULL;NULL;F;F;F;1;"Sr. Luiz Carlos";NULL;71;NULL;NULL;NULL;NULL;NULL;NULL
111;"MPE Montagens e Projetos Especiais S/A";1;"Rod. Amaral Peixoto KM 186";"P. Lagomar";RJ;"22 27633413";NULL;NULL;NULL;F;F;F;1;;...;0;NULL;NULL;NULL;NULL;NULL;NULL
112;"Santmac Manutençoes Tecnicas - Tecm";1;"Rua Jupiter, 123 - Granja dos Cavaleiros";Macae;RJ;"21 2773-3646";NULL;NULL;NULL;F;F;F;1;"Sra. Livia Costa";NULL;44;NULL;01183676000120;85673181;NULL;NULL;NULL
113;"Termomacae  Ltda";1;"Rod. Br 101 - Km 164 - S/N - Faz. Severina - Barra Macae";Macae;RJ;"22 2791-9800";NULL;NULL;NULL;F;F;F;1;"Srª  Jacques Kirszenblatt";...;51;NULL;02290787000280;77148450;NULL;NULL;NULL
114;"Petroleo Brasileiro S/A";1;"Rod. Amaral Peixoto KM 11000 - Imboassica";Macae;RJ;"22 27615527";NULL;NULL;NULL;F;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
116;"Ferpan Comercio de Metais Ltda_2";2;"Rua Professor Rodolfo David Gomes km 184";Lagomar;RJ;"(22) 2757-1101";NULL;NULL;NULL;F;F;F;1;"Srª Lorenna Vilela";NULL;106;NULL;NULL;NULL;NULL;NULL;NULL
117;"Baker Hughes do Brasil Ltda - Inteq Die";1;"Rod. Amaral Peixoto Km 184 - Lagomar";MacaÃ©;RJ;"(22) 2791-9300";NULL;NULL;NULL;F;T;F;1;"Sra. Simone BrandÃ£o";NULL;25;NULL;42087254000643;75646402;NULL;NULL;NULL
118;"Cedae - Estaçao Alegria (4° via entregue)";3;"Rua Carlos Seidl, 850 - Caju";"Rio de Janeiro";RJ;"21 3860-9294";NULL;NULL;NULL;F;F;F;1;"Sr. Carlos Afonso";NULL;72;NULL;NULL;NULL;NULL;NULL;NULL
119;"Petrobras S/A";3;"Rodovia Amaral Peixoto, 11.000. - Imbosassica";Macae;RJ;NULL;NULL;NULL;NULL;F;F;F;1;"Sr. Luiz Claudio Araujo";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
120;"Tecnologia em Cabos de Aço Brascabo Ltda";1;"Rod. Amaral Peixoto - Km 177,5 - Barra de Macae";Macae;RJ;"22 2772-3575";NULL;NULL;NULL;F;F;F;1;"Sr. Edson Pereira Junior";NULL;50;NULL;02755014000140;75646135;NULL;NULL;NULL
121;"Brasflex Tubos Flexiveis Ltda";1;"Rua Maria Braga Lima,  62 - Cajueiros";Macae;RJ;"(22) 2763-3924";NULL;NULL;NULL;F;F;F;1;"SrÂ° Fabio Rocha";...;56;NULL;29505864000570;80765312;NULL;NULL;NULL
122;"Usina Norte Fluminense S/A";1;"Estrada BR 101 - KM 161 - SÃ?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â­tio Severina";MacaÃ?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?;RJ;"22 - 2765-9500";NULL;NULL;NULL;F;F;F;1;"EngÃ?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Âº Carlos Pedro F";...;0;NULL;NULL;NULL;NULL;NULL;NULL
123;"Parque de Material BÃ?Â©lico";3;"Est. do GaleÃ?Â£o 855 - Ilha do Governador";"Rio de Janeiro";RJ;"(21) 33839184";NULL;NULL;NULL;F;F;F;1;;NULL;67;NULL;NULL;NULL;NULL;NULL;NULL
124;"Baker Hughes do Brasil Ltda - Atlas";1;"Estrada de Imboassica s/nÃ?Â?Ã?Â¡Ã?Â?Ã?Â« - Granja das garÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?";MacaÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±;RJ;"22 2765-9400";NULL;NULL;NULL;F;F;F;1;"Sr. AntÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â?nio Maria JÃ?Â?Ã?Â";NULL;3;NULL;NULL;NULL;NULL;NULL;NULL
125;"Ã?Âgua e Seco Lavanderias  Ltda";1;"Rua Teixeira de Gouveia nÃ?Â?Ã?ÂÃ?Â?Ã?ÂªÃ?Â?Ã?Â¤Ã?Â?Ã?ÂÃ?Â?Ã?Â¢Ã?Â?Ã?Â« 1157 -";MacaÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±;RJ;"22 - 2762-0241";NULL;NULL;NULL;F;F;F;1;"Sr. Adriano de Almeida GonÃ?Â?Ã?ÂÃ?Â?Ã?ÂªÃ?Â?Ã?Âª";...;4;NULL;NULL;NULL;NULL;NULL;NULL
